sector,year,driver_note,source_report
"Diversified (Technology, Manufacturing, Healthcare, Financial Services)",NA (undated brochure),"Generic, non-quantified marketing statement only: 'From technology and manufacturing to healthcare and financial services, India offers diverse opportunities for enterprises to innovate, scale, and lead' - no deal data or growth figures attached",Roedl & Partner - Seizing Opportunities: Mergers & Acquisitions (M&A) in India (undated brochure)
Healthcare,2025,"'Overview of the M&A Market' intro: momentum in deal activity in traditional sectors (healthcare, financial services, consumer goods) expected to continue in 2025",Nishith Desai Associates - Mergers & Acquisitions: An Indian Legal Regulatory and Tax Perspective (June 2025)
Financial Services,2025,"'Overview of the M&A Market' intro: momentum in deal activity in traditional sectors (healthcare, financial services, consumer goods) expected to continue in 2025",Nishith Desai Associates - Mergers & Acquisitions: An Indian Legal Regulatory and Tax Perspective (June 2025)
Consumer Goods,2025,"'Overview of the M&A Market' intro: momentum in deal activity in traditional sectors (healthcare, financial services, consumer goods) expected to continue in 2025",Nishith Desai Associates - Mergers & Acquisitions: An Indian Legal Regulatory and Tax Perspective (June 2025)
Industry and Manufacturing,2025,"'Overview of the M&A Market' intro: M&A activity in industry and manufacturing may dominate 2025, driven by the automotive sector and e-mobility",Nishith Desai Associates - Mergers & Acquisitions: An Indian Legal Regulatory and Tax Perspective (June 2025)
Renewable Energy,2025,"'Overview of the M&A Market' intro: M&A activity in renewable energy may dominate 2025, driven by government initiatives to propel green energy",Nishith Desai Associates - Mergers & Acquisitions: An Indian Legal Regulatory and Tax Perspective (June 2025)
Technology,2025,"'Overview of the M&A Market' intro: M&A activity in technology may dominate 2025, driven by rapid innovation in AI and digital transformation",Nishith Desai Associates - Mergers & Acquisitions: An Indian Legal Regulatory and Tax Perspective (June 2025)
Retail and consumer,2025,"Deal volume rose from 418 (2024) to 593 (2025); growth driven by quick commerce, vertical platforms, branded food/snack categories, premiumisation and digital adoption; private capital supporting category leaders and consolidation in fragmented segments.",PwC Deals at a glance: Annual Review 2025
Technology,2025,"Deal volumes up over 60% YoY and deal value nearly quadrupled to USD 23.8bn on platform-driven transactions; 2026 outlook driven by AI-led platforms, digital engineering, scalable digital infrastructure, semiconductor R&D, vertical SaaS, digital health-tech IT, and AI infrastructure (data centres, fibre networks).",PwC Deals at a glance: Annual Review 2025
Financial services,2025,"Biggest rise in deal value among sectors, from USD 9.3bn (2024) to USD 31.2bn (2025), with a 76% increase in deal volumes reflecting large consolidation-led transactions; 2026 focus shifting to asset-light platforms in asset/wealth management with execution and governance discipline.",PwC Deals at a glance: Annual Review 2025
FinTech,2025,"176 transactions valued at USD 4.7bn, driven by innovation-led investments and growing convergence between traditional financial institutions and digital platforms.",PwC Deals at a glance: Annual Review 2025
Power,2025,"Deal values nearly doubled YoY owing to infrastructure investment, steady regulations and greater institutional investor involvement.",PwC Deals at a glance: Annual Review 2025
Real estate,2025,"Deal values nearly doubled YoY; 2026 outlook: commercial office demand from GCC expansion, premium/mid-market housing, warehousing/logistics, co-living/student housing, and REITs offering liquidity for investors.",PwC Deals at a glance: Annual Review 2025
Healthcare and pharma,2025,"Deal activity focused on large hospital platforms, replicable single-specialty networks, branded generics and CDMO capabilities; value creation expected to shift toward AI-driven health tech and digital-first care models.",PwC Deals at a glance: Annual Review 2025
Industrials,2025,"Geopolitical factors tested sector resilience in 2025; 2026 deal-making expected to be driven by private capital supporting supply-chain reorganisation, with rising outbound deals by Indian corporates seeking technology and global scale.",PwC Deals at a glance: Annual Review 2025
Infrastructure,2025,"Benefiting from long-term investment tied to India's digital and energy transitions; AI-led demand accelerating data centre investment, with strong interest in fibre networks and InvIT-based capital recycling.",PwC Deals at a glance: Annual Review 2025
Retail and consumer,2024,"Highest deal volume in the market with 418 transactions worth USD 9.9bn, continuing the trend from 2023.",PwC Deals at a glance: Annual review 2024
Non-power infrastructure,2024,"Only 69 deals but highest sector deal value at USD 10.3bn, including two deals above USD 1bn.",PwC Deals at a glance: Annual review 2024
Technology,2024,"352 deals worth USD 6.3bn; technology is an integral cross-cutting theme across retail (e-commerce), healthcare/pharma (MedTech, biotech) and financial services (FinTech).",PwC Deals at a glance: Annual review 2024
Healthcare,2024,"183 deals worth USD 5.3bn, driven by advancements in medical technology and increased emphasis on health; sector poised to potentially double market size in 5-7 years via digital adoption and R&D.",PwC Deals at a glance: Annual review 2024
Financial services and FinTech,2024,"Combination of traditional and FinTech players remained active, showing consolidation and expansion strategies alongside smaller disruptive fintech innovations.",PwC Deals at a glance: Annual review 2024
Oil and gas,2024,"Lowest deal volume of top sectors but USD 6bn in value, reflecting a few large capital-intensive projects (e.g. the Gujarat Gas merger).",PwC Deals at a glance: Annual review 2024
Real estate,2024,"Real estate accounted for 28% of private credit deal volume in 2024, followed by utilities (15.7%) and infrastructure (10.7%).",PwC Deals at a glance: Annual review 2024
Retail and consumer,2023,"Top sector for the second year running by both value and volume (289 deals, USD 8.8bn), overtaking technology in the final two quarters of the year.","PwC Deals at a glance (Annual Review 2023, pub Feb 2024)"
Technology,2023,269 deals worth USD 4.6bn; had been predicted to be the frontrunner but finished marginally behind retail and consumer.,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)"
Professional services and FinTech,2023,"Most active sectors by deal volume; professional services was one of only four sectors (with chemicals, EVs, and oil and gas) to see a positive YoY volume trend in CY23.","PwC Deals at a glance (Annual Review 2023, pub Feb 2024)"
Financial services,2023,"111 deals worth USD 8.2bn, among the sectors with the largest deals by value in CY23.","PwC Deals at a glance (Annual Review 2023, pub Feb 2024)"
Power,2023,"77 deals worth USD 7.9bn, among the top sectors by deal value in CY23.","PwC Deals at a glance (Annual Review 2023, pub Feb 2024)"
Healthcare,2023,"122 deals worth USD 7.0bn, among the top sectors by deal value in CY23.","PwC Deals at a glance (Annual Review 2023, pub Feb 2024)"
SaaS,2023,Led start-up funding at 30% of H1 CY23 total but down 21% vs H2 CY22; average ticket size ~USD 10-11m; Builder.ai raised over USD 100m (22% of sector funding).,PwC Start-up Perspectives: India start-up deals tracker H1 CY23
D2C,2023,"Funding nearly tripled vs H2 CY22, with average ticket size jumping from USD 8m to USD 43m; Lenskart and FreshToHome (>USD 100m each) drove 72% of sector funding.",PwC Start-up Perspectives: India start-up deals tracker H1 CY23
FinTech,2023,"Start-up funding down 50% vs H2 CY22; InsuranceDekho, KreditBee and Mintifi (>USD 100m each) drove 64% of sector funding.",PwC Start-up Perspectives: India start-up deals tracker H1 CY23
E-commerce B2B,2023,Start-up funding down 6% vs H2 CY22; Zetwerk and Infra.Market drove 84% of sector funding.,PwC Start-up Perspectives: India start-up deals tracker H1 CY23
HealthTech,2023,"Start-up funding down 77% vs H2 CY22, with activity mostly in early-stage deals.",PwC Start-up Perspectives: India start-up deals tracker H1 CY23
Online gaming,2023,"Start-up funding up 3x vs H2 CY22, driven by early-stage rounds (e.g. Mayhem Studios, Rooter).",PwC Start-up Perspectives: India start-up deals tracker H1 CY23
FoodTech,2023,Start-up funding up 4x vs H2 CY22; Curefoods raised USD 37m during H1 CY23.,PwC Start-up Perspectives: India start-up deals tracker H1 CY23
"Financial services, technology, healthcare, energy and power, industrials",2022,"Expected to stay active on the domestic front for value creation and market share gain, following some of the largest-ever transactions in the cement, aviation and banking sectors in 2022.",PwC Deals in India: Annual review 2022 (Jan 2023)
Technology,2021,"Dominated the PE landscape with USD 40.0bn across 823 deals (~5x 2020); the online services subsector alone recorded 322 deals worth USD 10.9bn (~4x 2020); drivers include platformisation of consumer financial services, the clean energy transition, the metaverse, mobility/digital-commerce convergence, and virtual health/wellness.","PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)"
Financial services (NBFC),2021,NBFC space saw USD 2.1bn across 23 deals (excluding the USD 5bn Piramal-DHFC deal); Ares SSG's buyout of Altico Capital was the first-ever NBFC resolution outside the IBC process.,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)"
Healthcare and life sciences,2021,"Steady increase in deal activity, buoyed by large deals such as Byju's USD 1.4bn fundraise and Zydus Animal Health's USD 398m buyout.","PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)"
Real estate,2021,Blackstone was the leading PE investor (USD 715m Embassy Industrial Parks deal); total deal value of USD 3.7bn was down 29% YoY but deal volumes rose 56%.,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)"
"FinTech, EdTech, SaaS (start-ups)",2021,"Top three invested start-up sectors, together ~45% of total funding activity and 21 new unicorns; SaaS alone added five new unicorns in CY21.","PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)"
Education,2021,M&A megadeal interest alongside renewables and infrastructure reflecting a continued consolidation theme.,"PwC Deals in India: Annual review and outlook for 2022 (Feb 2022, CY2021 data)"
Technology,2019,"Most attractive PE segment at USD 10bn (28% of investment value), largely growth funding for late-stage start-ups.","PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)"
Infrastructure,2019,"Continued to draw sovereign wealth fund, PE and alternative investment platform attention, especially platform plays in the roads space.","PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)"
Energy,2019,"Renewables dominated energy-segment investment, with sovereign wealth funds taking the largest share of investment value.","PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)"
Financial services,2019,Investment value fell 30% YoY but insurance and NBFCs drew ~USD 2bn as PE funds seized opportunities from the NBFC crisis at attractive valuations.,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)"
"Financial services, steel, infrastructure, energy, hotels",2019,"Domestic consolidation was a key M&A driver; bank acquisitions of housing finance companies alone totalled USD 7bn, alongside acquisitions of stressed steel assets.","PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)"
